Generation,ACG
704,15.056947608200456
705,15.318734793187348
706,15.1328125
707,14.67688679245283
708,14.776223776223777
709,15.471131639722863
710,16.413793103448278
711,14.89795918367347
712,13.664987405541561
713,12.372146118721462
714,13.10344827586207
715,13.711442786069652
716,14.11358024691358
717,14.272727272727273
718,15.769953051643192
719,14.194174757281553
720,15.162100456621005
721,15.82983682983683
722,15.07906976744186
723,14.702947845804989
724,14.28883495145631
725,13.764845605700712
726,15.023310023310023
727,14.192660550458715
728,13.118556701030927
729,12.141119221411191
730,12.630952380952381
731,14.19949494949495
732,13.995305164319248
733,14.827338129496402
734,13.94061757719715
735,16.291891891891893
736,15.044917257683215
737,15.284552845528456
738,14.378571428571428
739,12.728337236533958
740,15.192399049881235
741,14.40979381443299
742,12.508515815085158
743,12.563275434243176
744,13.448036951501155
745,15.992647058823529
746,15.507352941176471
747,15.42824074074074
748,14.684931506849315
749,13.803782505910165
750,13.886746987951808
751,14.360730593607306
752,14.387179487179488
753,12.826190476190476
754,12.893111638954869
755,15.172680412371134
756,14.970319634703197
757,13.900462962962964
758,16.557213930348258
759,15.6825
760,14.683602771362587
761,13.116550116550117
762,11.930555555555555
763,12.411347517730496
764,14.235565819861431
765,13.318396226415095
766,13.501199040767386
767,13.872685185185185
768,14.217703349282298
769,15.568493150684931
770,16.3960880195599
771,15.34074074074074
772,13.702770780856422
773,13.007228915662651
774,13.103211009174313
775,13.830275229357799
776,12.72108843537415
777,13.602015113350125
778,14.217687074829932
779,12.929095354523227
780,14.843434343434344
781,14.89051094890511
782,14.829787234042554
783,15.122931442080379
784,16.513953488372092
785,15.261072261072261
786,15.838337182448036
787,14.33095238095238
788,12.101851851851851
789,13.276119402985074
790,12.97228637413395
791,13.570438799076213
792,12.787735849056604
793,16.06759906759907
794,16.00722891566265
795,16.888111888111887
796,14.302540415704389
797,13.797169811320755
798,15.006928406466512
799,14.542528735632184
800,16.948529411764707
801,14.251141552511415
802,14.6075
803,13.076923076923077
804,11.762557077625571
805,12.357798165137615
806,13.035629453681711
807,13.645539906103286
808,13.36111111111111
809,14.398058252427184
810,12.64186046511628
811,13.451282051282051
812,13.244131455399062
813,15.533512064343164
814,14.845
815,13.730582524271844
816,14.08433734939759
817,14.05955334987593
818,14.389312977099237
819,12.362745098039216
820,13.878787878787879
821,14.542288557213931
822,14.161731207289295
823,16.094890510948904
824,15.47887323943662
825,16.434343434343436
826,14.808252427184467
827,14.648960739030024
828,14.797674418604652
829,14.451536643026005
830,14.539408866995075
831,13.458628841607565
832,14.727272727272727
833,14.262557077625571
834,14.335600907029479
835,15.427906976744186
836,17.16923076923077
837,15.195238095238095
838,14.314814814814815
839,14.282051282051283
840,14.407494145199063
841,15.961187214611872
842,16.55011655011655
843,17.312785388127853
844,15.481132075471699
845,13.704225352112676
846,14.674603174603174
847,13.5
848,12.44131455399061
849,14.430348258706468
850,14.011467889908257
851,13.993197278911564
852,16.04066985645933
853,16.893939393939394
854,14.751807228915663
855,16.119318181818183
856,13.214611872146119
857,11.832568807339449
858,12.378995433789955
859,13.74698795180723
860,15.267195767195767
861,12.854166666666666
862,15.506944444444445
863,15.723809523809523
864,14.126760563380282
865,15.158273381294965
866,14.608391608391608
867,15.179487179487179
868,12.904651162790698
869,14.170370370370371
870,13.550868486352357
871,12.542141230068337
872,14.093896713615024
873,12.831408775981524
874,14.128851540616246
875,11.655581947743467
876,12.226027397260275
877,13.083743842364532
878,13.471604938271605
879,14.373522458628841
880,13.454337899543379
881,15.448621553884712
882,13.552567237163814
